SZA;CTO;AOD
69.415;321.0754;0.0181
69.415;321.076;0.0181
69.415;321.0762;0.0181
69.415;321.0762;0.0181
69.415;321.0747;0.0181
69.415;321.0725;0.0181
69.415;321.0719;0.0181
69.415;321.0698;0.0181
69.415;321.0713;0.0182
69.415;321.0712;0.0181
69.415;321.0718;0.0181
69.415;321.0689;0.0181
69.415;321.0679;0.0181
69.415;321.0658;0.0181
69.415;321.0654;0.0181
69.415;321.062;0.0181
69.415;321.0593;0.0181
69.415;321.0556;0.0181
69.415;321.0525;0.0181
69.415;321.0504;0.0181
69.415;321.0463;0.0181
69.415;321.0465;0.0181
69.415;321.0484;0.0181
69.415;321.0438;0.0181
69.415;321.0373;0.0181
69.415;321.0404;0.0181
69.415;321.0403;0.0181
69.415;321.0413;0.0181
69.415;321.0471;0.0181
69.415;321.0478;0.0181
69.415;321.0462;0.0181
69.415;321.0516;0.0181
69.415;321.0487;0.0181
69.415;321.0553;0.0181
69.415;321.0531;0.0181
69.415;321.0517;0.018
69.415;321.0614;0.018
69.415;321.061;0.018
69.415;321.0566;0.018
69.415;321.0629;0.018
69.415;321.0589;0.018
69.415;321.0559;0.018
69.415;321.0634;0.018
69.415;321.0594;0.018
69.415;321.055;0.018
69.415;321.0614;0.018
69.415;321.0558;0.018
69.415;321.0504;0.018
69.415;321.0576;0.018
69.415;321.0553;0.018
69.415;321.0652;0.018
69.415;321.064;0.018
69.415;321.0633;0.018
69.415;321.0703;0.018
69.415;321.0669;0.018
69.415;321.0634;0.018
69.415;321.0707;0.018
69.415;321.0678;0.018
69.415;321.0693;0.018
69.415;321.085;0.018
69.415;321.1457;0.0178
69.415;321.1515;0.0178
69.415;321.1564;0.0178
69.415;321.1526;0.0178
69.415;321.1571;0.0178
69.415;321.1571;0.0178
69.415;321.157;0.0178
69.415;321.1614;0.0178
69.415;321.1588;0.0178
69.415;321.1564;0.0178
69.415;321.1572;0.0178
69.415;321.1523;0.0178
69.415;321.147;0.0178
69.415;321.1526;0.0178
69.415;321.1516;0.0178
69.415;321.152;0.0178
69.415;321.1617;0.0178
69.415;321.1631;0.0178
69.415;321.1702;0.0178
69.415;321.1698;0.0178
69.415;321.1695;0.0178
69.415;321.1811;0.0178
69.415;321.1809;0.0178
69.415;321.1789;0.0178
69.415;321.1884;0.0178
69.415;321.187;0.0178
69.415;321.1859;0.0178
69.415;321.1955;0.0178
69.415;321.1948;0.0178
69.415;321.1943;0.0178
69.415;321.2029;0.0178
69.415;321.2026;0.0178
69.415;321.2018;0.0178
69.415;321.2137;0.0178
69.415;321.2181;0.0178
69.415;321.2317;0.0178
69.415;321.2332;0.0178
69.415;321.2334;0.0178
69.415;321.2448;0.0178
69.415;321.2409;0.0178
69.415;321.2397;0.0178
